sample,sample_code,Q_code,PR_Code,PR_results_short,toxocaris_leonina,sarcocystis_spp,Tania_serialis,cryptosporidium,giardia,toxoplasma_gondii,trichincella_spp,Pack,Huldscore,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C
EHI01290,AGC51E1L1I1,Q12,IF6,no parasites,no,no,no,no,no,no,no,P3,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.8431,21481532,249750,0.017417098,3153109649,37453172,0.027073589,17.94920406,0.925110783
EHI01381,AGB81E1L1I1,Q39,IF23,parasites,yes,no,no,no,no,no,no,P0,2,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.853,42256622,17249,0.017032929,6276705668,2588567,0.02621346,17.10264772,0.954331786
EHI01310,AGD37E1L1I1,,DF4,no parasites,no,no,no,no,no,no,no,SH5,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9964,32954722,87251,0.024042258,4881907472,12530735,0.033671136,16.69662492,0.979192453
EHI01312,AGD14E1L1I1,,DF25,no parasites,no,no,no,no,no,no,no,SH4,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.8916,25623632,265435,0.034205172,3769676465,35874973,0.043752034,16.80866714,0.97688406
EHI01283,AGD07E1L1I1,,DF32,no parasites,no,no,no,no,no,no,no,SH1,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9329,54511426,1862948,0.013860729,7831375754,272615552,0.022631319,17.88014267,0.972329894
EHI01298,AGD24E1L1I1,,DF15,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,SH5,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9876,59986486,92257,0.024322294,8906989824,11874819,0.032900244,17.49991738,0.981637692
EHI01281,AGB97E1L1I1,Q20,IF9,no parasites,no,no,no,no,no,no,no,P1,4,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.9785,29350834,13618,0.015444305,4363104057,2048114,0.023824347,17.2086656,0.968057969
EHI01384,AGC36E1L1I1,Q83,IF37,no parasites,no,no,no,no,no,no,no,P8,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.9458,47412314,1121644,0.028106183,6872446871,143680261,0.041187123,17.7006105,0.964242909
EHI01304,AGC09E1L1I1,Q37,IF22,parasites,yes,yes,no,yes,no,no,no,P4,4,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Female,Greenland,70.297,-21.95,0.9103,18307608,125353,0.027453615,2705166311,17047364,0.035927552,17.40431495,0.939272208
EHI01299,AGD06E1L1I1,,DF33,no parasites,no,no,no,no,no,no,no,SH1,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9777,43155022,408258,0.017136145,6362870675,62244382,0.024445196,17.19543712,0.976361853
EHI01282,AGD12E1L1I1,,DF27,no parasites,no,no,no,no,no,no,no,SH7,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9359,36203472,687017,0.016817276,5278931308,97149032,0.02667359,17.35504428,0.966370713
EHI01308,AGB99E1L1I1,Q80,IF34,no parasites,no,no,no,no,no,no,no,P5,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.9228,46722970,2289851,0.019619334,6607302774,346411417,0.027275457,16.96787202,0.978615403
EHI01327,AGD28E1L1I1,,DF11,parasites,no,no,no,no,yes,no,no,SH1,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9511,46828184,6585835,0.02792042,5963392503,995848373,0.036913903,17.71041395,0.964995028
EHI01288,AGD39E1L1I1,,DF2,parasites,no,no,no,no,yes,no,no,SH7,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.8978,13469414,93603,0.023811343,1983878444,11457362,0.035927284,17.41414698,0.932907128
EHI01318,AGD19E1L1I1,,DF20,no parasites,no,no,no,no,no,no,no,SH2,,Canis familiaris,Daneborg,Faecal,Carnivora,Female,Greenland,74.18,-20.22,0.9888,26672712,7332,0.017365335,3967378751,996368,0.025355213,17.3575995,0.957076662
EHI01291,AGB82E1L1I1,Q70,IF30,no parasites,no,no,no,no,no,no,no,P5,4,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.9149,26616210,468,0.022826456,3964146985,72002,0.029731652,16.84874904,0.973585467
EHI01301,AGD38E1L1I1,,DF3,no parasites,no,no,no,no,no,no,no,SH5,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9421,33456768,25316,0.022552186,4973994875,3299384,0.030580719,17.5264579,0.961747679
EHI01311,AGB87E1L1I1,Q22,IF11,no parasites,no,no,no,no,no,no,no,P1,4,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.9955,33347130,115805,0.019735035,4951512745,17176644,0.026276598,17.18131096,0.970056643
EHI01300,AGB79E1L1I1,Q82,IF36,no parasites,no,no,no,no,no,no,no,P8,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Female,Greenland,70.297,-21.95,0.9323,36443872,278045,0.026202315,5382823318,42086962,0.033625356,17.38773645,0.966013052
EHI01286,AGD32E1L1I1,,DF8,no parasites,no,no,no,no,no,no,no,SH4,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9882,33313218,313858,0.03027164,4902671275,44026595,0.040030054,17.05178725,0.982315297
EHI01287,AGC12E1L1I1,Q84,IF38,parasites,yes,yes,no,no,no,no,no,P4,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Female,Greenland,70.297,-21.95,0.9172,19859782,855956,0.025666369,2826215121,129656036,0.033220446,17.59954076,0.931039142
EHI01328,AGC98E1L1I1,,DF40,no parasites,no,no,no,no,no,no,no,SH4,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9308,41008160,203691,0.020964149,6061945401,27879864,0.030736442,17.45335651,0.979201612
EHI01292,AGC18E1L1I1,Q79,IF33,no parasites,no,no,no,no,no,no,no,P5,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.7233,40159986,36686,0.020426744,5964480529,5501443,0.029210372,17.38487878,0.967324413
EHI01315,AGC42E1L1I1,Q3 ,IF3 ,parasites,no,no,no,yes,no,no,no,P0,,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.8691,35961288,2433439,0.040267042,4985455542,370691905,0.047036129,17.68633168,0.951237173
EHI01322,AGD40E1L1I1,,DF1,no parasites,no,no,no,no,no,no,no,SH7,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9705,56723288,229392,0.025186035,8391035278,28936514,0.03532789,17.18385224,0.980337299
EHI01332,AGD09E1L1I1,,DF30,no parasites,no,no,no,no,no,no,no,SH2,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9755,40541728,131960,0.028534144,6009225904,18005686,0.037164918,17.50455086,0.973686273
EHI01325,AGB90E1L1I1,Q35,IF21,parasites,no,no,no,yes,no,no,no,P8,2,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.8636,23715482,193299,0.018052397,3495571363,28877445,0.027126651,18.04798266,0.919510546
