sample,region,S_capracanis,S_tuagulusi,S_hirsuta,G_intestinalis,G_peramelis,G_muris,Tr_spiralis,Tr_OTHER,Tr_pathgoniensis,Tr_pseudospiralis,Ta_laticollis,Ta_asiatica,Ta_solium,Ta_OTHER,Ta_krabbei,Ta_arctos,Ta_multiceps,Ta_saginata,Ta_madoquae,E_granulosus,E_multilocularis,C_ubiquitum,C_parvum,C_hominis_TU502,C_proventriculi,C_muris_RN66,C_OTHER,C_wrairi,C_canis,C_meleagridis
EHI01300,Ittoqqortoormii,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01286,Daneborg,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0
EHI01287,Ittoqqortoormii,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0
EHI01328,Daneborg,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01292,Ittoqqortoormii,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01315,Ittoqqortoormii,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1
EHI01322,Daneborg,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01332,Daneborg,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01325,Ittoqqortoormii,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01323,Daneborg,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01313,Daneborg,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01284,Ittoqqortoormii,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0
EHI01314,Ittoqqortoormii,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
EHI01294,Daneborg,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0
EHI01289,Ittoqqortoormii,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0
EHI01331,Daneborg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0
EHI01324,Daneborg,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0
EHI01307,Daneborg,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0
EHI01305,Ittoqqortoormii,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
