Genome	EHI01384	EHI01307	EHI01308	EHI01309	EHI01296	EHI01289	EHI01318	EHI01303	EHI01280	EHI01294	EHI01287	EHI01302	EHI01319	EHI01311	EHI01299	EHI01327	EHI01290	EHI01312	EHI01291	EHI01298	EHI01306	EHI01315	EHI01385	EHI01283	EHI01383	EHI01288	EHI01382	EHI01313	EHI01284	EHI01281	EHI01285	EHI01320	EHI01323	EHI01301	EHI01304	EHI01314	EHI01381	EHI01316	EHI01300	EHI01329	EHI01324	EHI01295	EHI01330	EHI01292	EHI01286	EHI01325	EHI01297	EHI01332	EHI01317	EHI01331	EHI01310	EHI01322	EHI01282	EHI01321	EHI01326	EHI01305	EHI01293	EHI01328
EHA01871_bin.13	862587	1059130	565436	1942407	1201450	1362811	1353700	24052	504642	1052457	404436	1290534	156965	159894	2960499	1738141	202576	4485	160440	3281928	316140	448144	2045035	1936277	188596	671890	367656	2164719	263189	302341	143014	521396	3290866	1961814	521961	401413	39175	672533	1225022	2135752	1848114	2119490	1028085	69290	1532915	252540	808889	1968651	511016	1023864	1036481	1954124	1436077	5098919	1438670	1342019	149033	1619014
EHA01871_bin.14	13988	1158344	35635	9575	83909	87858	88356	1614	168667	72621	6960	438631	8388	7117	59807	1034876	218081	2148	8750	1613208	24634	2039	106230	1402667	8342	3575	13165	570258	12682	16321	12453	20919	24519	529810	8686	25114	9574	1821182	12659	11312	2306430	8153	4980037	3557	8477	11539	9947	28856	4839986	1891095	4661205	11272	935767	19931824	1723326	14063	6665	20629
EHA01871_bin.16	121	383	16943	23	237	226	44	8	1308	2298	243	41	342	8814	38	7307	524	269	15	909	11153	18	2552	649	9	70	17	237	17	402	6406	2187	679	130	38	122	141	162	10	50	232	16	1797	1345	31	638	502	120	89	1430	166	138	258650	561	146	255	597	10932
EHA01871_bin.23	4280	95042	6922	171701	65367	59101	63475	2810	82334	97828	36071	117268	144542	30414	65022	184810	10813	84148	1745	414680	549	120444	104486	94837	41198	307561	15276	137961	901	19602	41632	1020	94700	69336	51614	8882	306873	90684	286	25165	195109	41383	447752	5843	147074	961	442400	153096	3064	168752	70020	25225	81563	372178	121167	9611	7990	253080
EHA01871_bin.4	335877	472471	4114	15359	288975	1783	216947	10172	55219	245265	13312	6859	44770	6041	360135	486113	112288	6951	2826	1896212	22637	2675	4051	839242	8510	234164	832	898875	1994	4061	228912	3906	313908	349221	23429	1652	958	425395	258835	1089565	734784	18925	6355	2034	367192	165416	436124	860528	59129	483587	693577	361876	689447	2544747	731139	22669	873	838461
EHA01871_bin.8	221366	13435	14181	109496	38108	9081	11850	21428	39248	13950	14710	7784	8389	5900	94613	98694	6979	28851	29162	160373	81177	16362	138131	23061	100011	12391	3914	23703	9817	4980	8550	23082	193181	21538	4339	25406	11681	22094	7269	11445	34717	7324	14045	53206	16288	27074	23486	23101	13094	12632	16632	32175	46249	37799	30986	17333	2160	19652
EHA01871_bin.9	3694	8235	3177	20550	19736	22057	4564	487	27735	8889	5332	13155	31951	19949	9177	8244	964	1402	658	7691	16816	2440	651	17159	56826	1099	4504	20034	375	31945	16032	41025	2356	16379	2616	661	8311	10135	6364	6999	20536	15220	5904	1322	5364	7799	17198	9236	19289	8622	5281	6344	29202	54321	7697	25724	3293	9322
EHA01872_bin.15	482	14891	2329	181	2661	383	430	557	952	503	68	114	380	168	308	598	935	2	113	650	323	127	202	190162	428	80	387	849	9225	300	1093	688	458	359	290	872	62	141	331	91	708	33	151	1808	88	2965	111	651	2315	491	47	343	498	86820	545	806	175	181
EHA01872_bin.1	33322	11022	13373	20651	17250	15633	17122	7752	75333	11883	7094	6154	6179	18006	27034	30996	11539	875	14049	83491	30660	5136	139595	83098	104627	6592	8241	60947	5793	11106	24276	10399	22754	27272	15399	9881	50155	14162	28134	25551	35638	10180	13279	52988	11625	9918	28385	29688	7303	13945	15329	33808	37358	334644	52403	25281	5632	14619
EHA01872_bin.30	82937	10619	33853	13202	174230	42584	23526	8066	94080	51991	1721	10918	11567	7480	23283	20234	41981	364	11756	36505	15840	892	34127	312990	12667	3406	10720	24012	21259	23397	26329	34940	27920	15934	25625	24552	3359	7431	21322	7738	30112	6071	8711	16817	7435	63901	7482	26117	49936	12365	2927	5600	17014	54115	25219	66550	8265	18896
EHA01872_bin.35	16770	90628	50771	396387	194291	25750	64443	1566	58373	71385	22954	86069	16449	737	128101	162929	14101	406	40444	190214	50461	1769	46972	271365	2274	37676	27799	324669	13897	12622	14733	1617	60232	86942	35138	9582	7567	69647	89950	141811	110462	83133	10220	14203	251317	12600	99347	155067	10075	45717	16112	191911	137723	555971	137956	20613	17494	205800
EHA01872_bin.37	112642	26999	9942	940	528073	237385	2524	1424	210501	4356	25452	8101	37706	37517	4131	7827	16912	46	4624	4930	75524	371	100418	491774	1911	400	4628	6968	8177	5557	19284	11102	6128	1824	159949	7645	1390	1070	133540	1957	9074	2433	24398	2156	2005	4132	3509	3296	2480	9640	1361	976	2918	424126	2875	3690	2763	2372
