EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI01298	AGD24E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9876	59986486	92257	0.024322293666233175	8906989824	11874819	0.03290024378895717	17.4999173768548	0.981637691858748
EHI01281	AGB97E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.9784999999999999	29350834	13618	0.01544430478053116	4363104057	2048114	0.023824347329124418	17.2086655957525	0.968057968944247
EHI01384	AGC36E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.9458	47412314	1121644	0.028106182775585853	6872446871	143680261	0.04118712275869085	17.7006105041681	0.964242908562536
EHI01304	AGC09E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Female	Greenland	70.297	-21.95	0.9103	18307608	125353	0.02745361526945389	2705166311	17047364	0.03592755241962664	17.4043149512043	0.939272208011885
EHI01299	AGD06E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9777	43155022	408258	0.017136144578368095	6362870675	62244382	0.024445195671456532	17.1954371154898	0.976361852940309
EHI01282	AGD12E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9359000000000001	36203472	687017	0.01681727563382729	5278931308	97149032	0.026673589926656693	17.3550442814165	0.966370712932483
EHI01308	AGB99E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.9228000000000001	46722970	2289851	0.01961933432859142	6607302774	346411417	0.027275456809744747	16.9678720193847	0.978615402650407
EHI01327	AGD28E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9511	46828184	6585835	0.027920420482758	5963392503	995848373	0.036913902889296635	17.7104139490636	0.96499502770359
EHI01288	AGD39E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.8978	13469414	93603	0.023811342573635152	1983878444	11457362	0.03592728356066888	17.4141469798631	0.932907127672223
EHI01318	AGD19E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Female	Greenland	74.18	-20.22	0.9887999999999999	26672712	7332	0.01736533471499746	3967378751	996368	0.025355212777289138	17.3575995019564	0.957076662475983
EHI01291	AGB82E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.9148999999999999	26616210	468	0.02282645584712739	3964146985	72002	0.029731651670191428	16.848749036976	0.973585467355637
EHI01301	AGD38E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9420999999999999	33456768	25316	0.022552185738868302	4973994875	3299384	0.030580719493680242	17.5264579037697	0.96174767939484
