Genome	EHI01384	EHI01307	EHI01308	EHI01309	EHI01296	EHI01289	EHI01318	EHI01303	EHI01280	EHI01294	EHI01287	EHI01302	EHI01319	EHI01311	EHI01299	EHI01327	EHI01290	EHI01312	EHI01291	EHI01298	EHI01306	EHI01315	EHI01385	EHI01283	EHI01383	EHI01288	EHI01382	EHI01313	EHI01284	EHI01281	EHI01285	EHI01320	EHI01323	EHI01301	EHI01304	EHI01314	EHI01381	EHI01316	EHI01300	EHI01329	EHI01324	EHI01295	EHI01330	EHI01292	EHI01286	EHI01325	EHI01297	EHI01332	EHI01317	EHI01331	EHI01310	EHI01322	EHI01282	EHI01321	EHI01326	EHI01305	EHI01293	EHI01328
EHA01871_bin.13	0.7265402	0.952954	0.25358775	0.8629285	0.96331984	0.64562535	0.92733413	0.12295453	0.6750817	0.93206835	0.55504817	0.82074463	0.26886404	0.20946397	0.9727509	0.9562562	0.5934684	0.0832087	0.24172887	0.95337003	0.23497519	0.557702	0.63444114	0.97921574	0.20806707	0.84000534	0.37976566	0.9433344	0.28141338	0.3030508	0.23507431	0.3582016	0.9340728	0.90938324	0.6152185	0.29736906	0.13074462	0.9415718	0.7221422	0.76878595	0.9802499	0.8571316	0.6288671	0.1983406	0.78764737	0.6652208	0.8437462	0.92576873	0.69749546	0.9065769	0.60883206	0.7947295	0.9965961	0.97166896	0.9312367	0.67419827	0.28831074	0.8929799
EHA01871_bin.14	0.0024588383	0.9671831	0.0010905996	0.009959205	0.7542262	0.8000848	0.82012266	0.0014354474	0.9033716	0.69606054	0.11541015	0.9715085	0.0009776069	0.00069527194	0.56241745	0.9938661	0.89922285	0.052163884	0.00073430577	0.9917668	0.0024456314	0.0015666364	0.83929914	0.9884777	0.0011528189	0.002618789	0.0015182109	0.98966366	0.0016834444	0.0009057025	0.0013265635	0.0023769555	0.005064127	0.8871124	0.025228774	0.000859038	0.18437853	0.96317613	0.0020875768	0.0015692777	0.9908975	0.0017289349	0.9123523	0.00094121444	0.0017342177	0.0015487336	0.0017612185	0.15302439	0.9196725	0.99693745	0.98189974	0.0021230886	0.9999715	0.9983635	0.96574646	0.0019713556	0.0015487336	0.0017720776
EHA01871_bin.16	0.0066795223	0.022040887	0.3960509	0.00046544417	0.011879069	0.012898722	0.0026441554	0.00051096437	0.065463185	0.11896423	0.0114972675	0.0017536662	0.0035904068	0.33588853	0.0020825497	0.28524956	0.020556929	0.0007476695	0.0007675846	0.048638918	0.24043037	0.0011351603	0.11601566	0.037619613	0.0003840768	0.003800938	0.00062817894	0.009999653	0.0006537841	0.021439452	0.27442145	0.10674775	0.035350997	0.0070869285	0.0020575137	0.005758876	0.001927212	0.009124527	0.0005525016	0.0020597896	0.011097828	0.00046373717	0.09075934	0.07215409	0.0012210797	0.03646738	0.028418269	0.0060496363	0.0026606566	0.052205995	0.005118179	0.0026356203	0.99974734	0.027976723	0.007732177	0.012059443	0.03472965	0.3555032
EHA01871_bin.23	0.076090045	0.75249475	0.110872544	0.6826901	0.82783276	0.5980684	0.6982607	0.016889704	0.7571136	0.83393514	0.5390314	0.86163384	0.6319675	0.17292988	0.72473705	0.7659014	0.10526757	0.2932423	0.009200617	0.89968455	0.006651361	0.33427635	0.6454445	0.8661393	0.15545383	0.7563348	0.16368046	0.71269953	0.023040501	0.21519172	0.24717194	0.014802053	0.70829636	0.6731015	0.6089561	0.1096597	0.55244035	0.8344735	0.007508459	0.33700347	0.9208739	0.025586214	0.6758026	0.08703083	0.26646766	0.015259722	0.7756722	0.8460597	0.07631357	0.7252203	0.6261756	0.27706254	0.9250307	0.95769805	0.8952869	0.1346521	0.109926514	0.67807835
EHA01871_bin.4	0.8975383	0.9678784	0.021740584	0.28311688	0.95542353	0.035317305	0.9786993	0.38046604	0.82965046	0.98146147	0.45172474	0.018285908	0.8043077	0.02424748	0.94478303	0.9819115	0.88964933	0.024023006	0.014999984	0.99636704	0.4927648	0.03348171	0.019288877	0.9984276	0.01722244	0.9666791	0.007985027	0.98485196	0.013156959	0.018831437	0.89991677	0.01575407	0.9758369	0.96261835	0.6358601	0.011266705	0.01281096	0.98030144	0.900491	0.94547874	0.9917539	0.5030402	0.0952318	0.02120089	0.9492481	0.8963273	0.9648732	0.9894778	0.8543904	0.97476757	0.96468747	0.9698663	0.9994332	0.9992836	0.9971073	0.59271854	0.01154796	0.9624088
EHA01871_bin.8	0.69652206	0.22232158	0.14942525	0.24741311	0.61316746	0.18382369	0.1980281	0.21665108	0.5665809	0.16177703	0.38978502	0.11976546	0.09692221	0.109841965	0.33127022	0.5866897	0.12344808	0.39086175	0.48635295	0.7031999	0.5718615	0.39343828	0.6082276	0.22708528	0.6507436	0.15645356	0.110214025	0.24575831	0.12772226	0.098627545	0.14104536	0.45493826	0.62640345	0.30026704	0.10724906	0.32171443	0.19205388	0.26377532	0.15530609	0.14291531	0.6236002	0.16198546	0.30416578	0.24358849	0.15369654	0.44615164	0.32980794	0.34544623	0.14587739	0.15585913	0.09730871	0.36695188	0.8088029	0.3154736	0.30356798	0.24198568	0.059384078	0.17173181
EHA01871_bin.9	0.24461485	0.47163832	0.19931625	0.7500329	0.7243238	0.7427998	0.311734	0.03906895	0.795038	0.49898338	0.3382966	0.60348445	0.82777756	0.64382726	0.502308	0.48707604	0.0760337	0.0872048	0.053718608	0.45583925	0.6662317	0.15849248	0.03183186	0.65145123	0.855338	0.08856799	0.23011754	0.71897155	0.028680341	0.8357166	0.6153439	0.8795332	0.17365502	0.6837114	0.19203609	0.050515242	0.40557528	0.5337857	0.4007128	0.3528561	0.70350033	0.60840917	0.38034716	0.09027815	0.35179842	0.444034	0.7130841	0.5173198	0.7060632	0.46218216	0.32410955	0.35881776	0.88333637	0.90540254	0.45428222	0.7802743	0.23150307	0.5044561
EHA01872_bin.15	0.0059015076	0.47645843	0.014654484	0.0038149243	0.025823336	0.0037769286	0.005943574	0.012614037	0.0059250286	0.0077546905	0.0020124018	0.0024023077	0.0037832612	0.0017247221	0.0033598833	0.0048896526	0.0064537986	0.00010584447	0.0025637883	0.005089581	0.0036864635	0.0015994275	0.002315461	0.9992012	0.0043341955	0.0018296619	0.00191289	0.0074027805	0.29192856	0.004013948	0.008815397	0.006480486	0.0054708924	0.004226994	0.0039954027	0.008563451	0.0013524571	0.0025891187	0.0042749406	0.0016518974	0.0069228616	0.00088746514	0.0032739413	0.011678626	0.0014334236	0.016977182	0.0023833099	0.007341264	0.013629964	0.004380785	0.00043242442	0.0024434694	0.0042790114	0.96744335	0.007856917	0.00451784	0.0034295418	0.0023177224
EHA01872_bin.1	0.6255915	0.35557115	0.31507075	0.4206971	0.46602106	0.42888576	0.47416463	0.2717749	0.8098028	0.36831033	0.21060146	0.1429512	0.20588732	0.43217793	0.49179453	0.6172838	0.2924565	0.014484108	0.3854747	0.6574046	0.55533296	0.17953028	0.73685193	0.9033465	0.69686073	0.21743919	0.22630598	0.84999657	0.12343814	0.3237158	0.5173631	0.30688015	0.54105616	0.56980795	0.42945254	0.28760034	0.61545056	0.43484238	0.61699444	0.5327643	0.57922614	0.2758032	0.43019015	0.62136495	0.2774829	0.3487056	0.6087621	0.62574315	0.24900708	0.41722926	0.37182564	0.52200764	0.5678734	0.91735595	0.70356166	0.6071045	0.17581819	0.34172294
EHA01872_bin.30	0.7515198	0.12510116	0.3105334	0.062013313	0.9803033	0.48891753	0.2908284	0.17328638	0.7744419	0.34120405	0.028850038	0.058955017	0.0691721	0.066617645	0.098862715	0.08401004	0.64891523	0.0063850447	0.0586093	0.11278461	0.044655062	0.017847363	0.45966357	0.99858224	0.044019327	0.04950737	0.042900946	0.19077078	0.2760329	0.09300452	0.09667268	0.22313696	0.088821016	0.07878003	0.4872231	0.09813498	0.04181527	0.078597106	0.17183343	0.05178258	0.31664747	0.049693525	0.08029696	0.06821148	0.049760368	0.7620082	0.076188564	0.29952282	0.66795933	0.08817737	0.012690667	0.047706172	0.088031106	0.19184063	0.1718938	0.6464409	0.08637761	0.096331984
EHA01872_bin.35	0.5217811	0.9638402	0.61960316	0.86791825	0.99105644	0.53151685	0.9257912	0.1149464	0.6856835	0.9079738	0.48706427	0.842548	0.47252214	0.06761332	0.92776024	0.92463094	0.458752	0.004495193	0.6588996	0.92826235	0.5305154	0.124566495	0.6162866	0.9950385	0.12915532	0.82269186	0.44913465	0.9434544	0.46590188	0.4510091	0.46529147	0.121488616	0.85012656	0.9114437	0.50997716	0.3820969	0.33358055	0.86067104	0.74051625	0.89701724	0.94157165	0.865337	0.42054516	0.40459672	0.9195235	0.45302492	0.88483787	0.9635336	0.4129473	0.8170364	0.65024704	0.9159077	0.98042935	0.9864594	0.9845454	0.5105674	0.47324455	0.91188705
